longitude,latitude,id,name,station_name_URI
-71.10309999979151,42.3650699999973,68,Central Square at Mass Ave / Essex St,Central-Square-at-Mass-Ave-/-Essex-St
-71.12333800019867,42.341597999947595,69,Coolidge Corner - Beacon St @ Centre St,Coolidge-Corner
-71.122269630238,42.37199165395192,70,Harvard Kennedy School at Bennett St / Eliot St,Harvard-Kennedy-School-at-Bennett-St-/-Eliot-St
-71.10759300004182,42.3834050001727,71,Conway Park - Somerville Avenue,Conway-Park
-71.0841050000396,42.36261299990591,72,One Broadway / Kendall Sq at Main St / 3rd St,One-Broadway-/-Kendall-Sq-at-Main-St-/-3rd-St
-71.12088600012164,42.37323100017124,73,Harvard Square at Brattle St / Eliot St,Harvard-Square-at-Brattle-St-/-Eliot-St
-71.11857899980957,42.37326799989992,74,Harvard Square at Mass Ave/ Dunster,Harvard-Square-at-Mass-Ave/-Dunster
-71.10057324191654,42.36346469287681,75,Lafayette Square at Mass Ave / Main St / Columbia St,Lafayette-Square-at-Mass-Ave-/-Main-St-/-Columbia-St
-71.10549499996712,42.366425999702955,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,Central-Sq-Post-Office-/-Cambridge-City-Hall-at-Mass-Ave-/-Pleasant-St
-71.09812000036776,42.386843999871424,77,Somerville City Hall,Somerville-City-Hall
-71.09531900031129,42.37963699996065,78,Union Square - Somerville,Union-Square
-71.10566800021948,42.37841999993648,79,Beacon St at Washington / Kirkland,Beacon-St-at-Washington-/-Kirkland
-71.09205260017409,42.36196220027543,80,MIT Stata Center at Vassar St / Main St,MIT-Stata-Center-at-Vassar-St-/-Main-St
-71.06267900012708,42.35240899982682,81,Boylston St at Washington St,Boylston-St-at-Washington-St
-71.13492999986381,42.33933500024971,82,Washington Square at Washington St. / Beacon St.,Washington-Square-at-Washington-St.-/-Beacon-St.
-71.07647199979907,42.36698099971367,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,CambridgeSide-Galleria
-71.04892699956461,42.37833800025848,85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,Spaulding-Rehabilitation-Hospital
-71.11421399960577,42.36662099983493,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,Harvard-University-Housing
-71.10142699986424,42.37403500005651,88,Inman Square at Vellucci Plaza / Hampshire St,Inman-Square-at-Vellucci-Plaza-/-Hampshire-St
-71.11994499959017,42.379010999781784,89,Harvard Law School at Mass Ave / Jarvis St,Harvard-Law-School-at-Mass-Ave-/-Jarvis-St
-71.07652899970047,42.37067699994005,90,Lechmere Station at Cambridge St / First St,Lechmere-Station-at-Cambridge-St-/-First-St
-71.09168999970123,42.36627700023572,91,One Kendall Square at Hampshire St / Portland St,One-Kendall-Square-at-Hampshire-St-/-Portland-St
-71.04126900010806,42.31450700029359,92,University of Massachusetts Boston - Integrated Sciences Complex,University-of-Massachusetts-Boston
-71.05118036236941,42.32033973493953,93,JFK/UMass T Stop,JFK/UMass-T-Stop
-71.06460800014737,42.37560300024102,94,Main St at Austin St,Main-St-at-Austin-St
-71.09444499972696,42.37296899976476,95,Cambridge St - at Columbia St / Webster Ave,Cambridge-St
-71.11107500033879,42.37337900028252,96,Cambridge Main Library at Broadway / Trowbridge St,Cambridge-Main-Library-at-Broadway-/-Trowbridge-St
-71.11714124709565,42.36919031772533,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,Harvard-University-River-Houses-at-DeWolfe-St-/-Cowperthwaite-St
-71.06029200034736,42.37184800022063,98,Warren St at Chelsea St,Warren-St-at-Chelsea-St
-71.11334099974468,42.385581999752645,99,Wilson Square,Wilson-Square
-71.12302400037932,42.39696900011136,100,Davis Square,Davis-Square
-71.11677199998799,42.40087699974544,102,Powder House Circle - Nathan Tufts Park,Powder-House-Circle
-71.1283739996989,42.34656300025696,103,JFK Crossing at Harvard St. / Thorndike St.,JFK-Crossing-at-Harvard-St.-/-Thorndike-St.
-71.1251070003854,42.38028700002307,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,Harvard-University-Radcliffe-Quadrangle-at-Shepard-St-/-Garden-St
-71.11387163368467,42.35721850350003,105,Lower Cambridgeport at Magazine St/Riverside Rd,Lower-Cambridgeport-at-Magazine-St/Riverside-Rd
-71.07535399971559,42.3253329997708,106,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,Dudley-Town-Common
-71.08821999999815,42.362499999831954,107,Ames St at Main St,Ames-St-at-Main-St
-71.11686499987442,42.377944999675975,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,Harvard-University-/-SEAS-Cruft-Pierce-Halls-at-29-Oxford-St
-71.0644666852717,42.36590788469238,109,TD Garden - West End Park,TD-Garden
-71.1140250003582,42.37636899968438,110,Harvard University Gund Hall at Quincy St / Kirkland S,Harvard-University-Gund-Hall-at-Quincy-St-/-Kirkland-S
-71.12341299964342,42.404489999941575,111,Packard Ave / Powderhouse Blvd,Packard-Ave-/-Powderhouse-Blvd
-71.13244599999973,42.406302000031495,112,Clarendon Hill at Broadway,Clarendon-Hill-at-Broadway
-71.05701684972098,42.33047365072533,113,Andrew T Stop - Dorchester Ave at Dexter St,Andrew-T-Stop
-71.12690800035918,42.40276299991644,114,Teele Square at 239 Holland St,Teele-Square-at-239-Holland-St
-71.11908400032296,42.38799500026945,115,Porter Square Station,Porter-Square-Station
-71.10441200004375,42.370802999960844,116,359 Broadway - Broadway at Fayette Street,359-Broadway
-71.08638800006221,42.366095000063936,117,Binney St / Sixth St,Binney-St-/-Sixth-St
