ID,EVENT_TYPE,DAY_OF_WEEK,RANGE_DATE_START,RANGE_DATE_END,DISTRICT,districtIdWiki,STREETS_1,STREETS_2,NO_OF_VICTIMS,CPFA_HAIL,hail+ice,HAIL+ICE+RAIN,HAIL+ICE+RAIN+FOG,weatherCondition,WeatherConditionID,CPFA_ICE,CPFA_RAIN,CPFA_FOG,CPFA_DRY,CPFA_SNOW,CPSV_WET,CPSV_OIL,Wet+Oil,CPSV_MUD,Wet+Oil+Mud,CPSV_LOOSE_GRAVEL,Wet+Oik+Mud+Gravel,CPSV_ICE,Wet+Oil+Mud+Gravel+Ice,CPSV_DRY_AND_CLEAN,SurfaceCondition
2018-91,COLISION DOBLE,MIERCOLES,3/01/2018 11:00,3/01/2018 11:59,Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,AVENIDA DE SANTO DOMINGO DE LA CALZADA,CALLE DE LA SAUCEDA,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-132,CAIDA MOTOCICLETA,MIERCOLES,3/01/2018 11:00,3/01/2018 11:59,Hortaleza,https://www.wikidata.org/wiki/Q1928529,CALLE DE DULCE CHACON NUM,,1,, ,  RAIN,  RAIN ,RAIN,WeatherCondition07,,RAIN,,,,WET,,WET ,,WET  ,,WET   ,,WET    ,,WET
2018-90,COLISION DOBLE,MIERCOLES,3/01/2018 12:00,3/01/2018 12:59,Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,AVENIDA DE AMERICA ENTRADA KM.,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-88,COLISION DOBLE,MIERCOLES,3/01/2018 12:00,3/01/2018 12:59,Retiro,https://www.wikidata.org/wiki/Q2002296,CALLE DE NARVAEZ NUM,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-94,COLISION DOBLE,MIERCOLES,3/01/2018 13:00,3/01/2018 13:59,Salamanca,https://www.wikidata.org/wiki/Q1773521,PLAZA DE LA INDEPENDENCIA NUM,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-70,CHOQUE CON OBJETO FIJO,MIERCOLES,3/01/2018 14:00,3/01/2018 14:59,Carabanchel,https://www.wikidata.org/wiki/Q1001991,PASEO DE SANTA MARIA DE LA CABEZA NUM,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-146,COLISION DOBLE,MIERCOLES,3/01/2018 14:00,3/01/2018 14:59,Tetuán,https://www.wikidata.org/wiki/Q1773540,CALLE DE SAN LEOPOLDO,CALLE DEL CAÑAVERAL,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-361,COLISION DOBLE,MIERCOLES,3/01/2018 15:00,3/01/2018 15:59,Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,CALLE DE RAMIREZ DE ARELLANO NUM,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-726,COLISION DOBLE,MIERCOLES,3/01/2018 16:00,3/01/2018 16:59,Centro,https://www.wikidata.org/wiki/Q1763376,PLAZA DE ESPAÑA NUM,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-108,COLISION DOBLE,MIERCOLES,3/01/2018 16:00,3/01/2018 16:59,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,AVENIDA DE SENECA,TRAVESIA DE ANTONIO NEBRIJA,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-72,COLISION DOBLE,MIERCOLES,3/01/2018 17:00,3/01/2018 17:59,Carabanchel,https://www.wikidata.org/wiki/Q1001991,AVENIDA DE LOS POBLADOS NUM,,2,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-77,ATROPELLO,MIERCOLES,3/01/2018 17:00,3/01/2018 17:59,Hortaleza,https://www.wikidata.org/wiki/Q1928529,CALLE DEL TRINQUETE,CARRETERA A LA ESTACION DE HORTALEZA,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-261,COLISION DOBLE,MIERCOLES,3/01/2018 18:00,3/01/2018 18:59,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,CALLE DE MARUJA GARCIA ROMERO NUM,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-101,ATROPELLO,MIERCOLES,3/01/2018 19:00,3/01/2018 19:59,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,CALLE DE SIERRA TOLEDANA NUM,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-112,COLISION DOBLE,MIERCOLES,3/01/2018 20:00,3/01/2018 20:59,Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,CALLE DE RISCOS DE POLANCO,CALLE DEL CERRO DE LA CARRASQUETA,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-110,COLISION DOBLE,MIERCOLES,3/01/2018 20:00,3/01/2018 20:59,Retiro,https://www.wikidata.org/wiki/Q2002296,AVENIDA DEL MEDITERRANEO NUM,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-124,ATROPELLO,MIERCOLES,3/01/2018 21:00,3/01/2018 21:59,Centro,https://www.wikidata.org/wiki/Q1763376,CALLE DE TOLEDO NUM,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-115,COLISION DOBLE,MIERCOLES,3/01/2018 22:00,3/01/2018 22:59,Latina,https://www.wikidata.org/wiki/Q794954,CALLE DE SEGOVIA,PASEO DE EXTREMADURA,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-137,CAIDA MOTOCICLETA,MIERCOLES,3/01/2018 22:00,3/01/2018 22:59,Villaverde,https://www.wikidata.org/wiki/Q919536,CALLE DE DOMINGO PARRAGA NUM,,1,, ,  RAIN,  RAIN ,RAIN,WeatherCondition07,,RAIN,,,,WET,,WET ,,WET  ,,WET   ,,WET    ,,WET
2018-82,COLISION DOBLE,MIERCOLES,3/01/2018 23:00,3/01/2018 23:59,Chamberí,https://www.wikidata.org/wiki/Q1763370,CALLE DE LUCHANA,CALLE DE TRAFALGAR,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-227,COLISION MULTIPLE,MIERCOLES,3/01/2018 23:00,3/01/2018 23:59,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,AUTOVIA  M-30 CALZADA 2 KM.,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-84,CHOQUE CON OBJETO FIJO,MIERCOLES,3/01/2018 23:00,3/01/2018 23:59,San Blas,https://www.wikidata.org/wiki/Q2001937,CALLE DE SAN FAUSTINO NUM,,2,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-119,CAIDA CICLOMOTOR,JUEVES,4/01/2018 00:00,4/01/2018 00:59,Latina,https://www.wikidata.org/wiki/Q794954,CALLE DE AMPELIDO,CALLE DE SEPULVEDA,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,LOOSE GRAVEL,LOOSE GRAVEL,,LOOSE GRAVEL ,,LOOSE GRAVEL
2018-95,OTRAS CAUSAS,JUEVES,4/01/2018 05:00,4/01/2018 05:59,Arganzuela,https://www.wikidata.org/wiki/Q2000929,CALLE DEL LABRADOR,PASEO DE LA ESPERANZA,3,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-168,CAIDA MOTOCICLETA,JUEVES,4/01/2018 07:00,4/01/2018 07:59,Salamanca,https://www.wikidata.org/wiki/Q1773521,CALLE DE CLAUDIO COELLO,CALLE DE GOYA,1,, ,  RAIN,  RAIN ,RAIN,WeatherCondition07,,RAIN,,,,WET,,WET ,,WET  ,,WET   ,,WET    ,,WET
2018-135,CAIDA VIAJERO BUS,JUEVES,4/01/2018 08:00,4/01/2018 08:59,Carabanchel,https://www.wikidata.org/wiki/Q1001991,CALLE DE EUGENIA DE MONTIJO NUM,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-347,CAIDA MOTOCICLETA,JUEVES,4/01/2018 08:00,4/01/2018 08:59,Latina,https://www.wikidata.org/wiki/Q794954,CALLE DE LOS YEBENES,CALLE DE SEPULVEDA,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-93,COLISION DOBLE,JUEVES,4/01/2018 09:00,4/01/2018 09:59,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,AUTOVIA  M-30 CALZADA 1 KM.,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-129,COLISION DOBLE,JUEVES,4/01/2018 09:00,4/01/2018 09:59,San Blas,https://www.wikidata.org/wiki/Q2001937,AVENIDA DE CANILLEJAS A VICALVARO,CALLE DE ALCALA,1,, ,  RAIN,  RAIN ,RAIN,WeatherCondition07,,RAIN,,,,WET,,WET ,,WET  ,,WET   ,,WET    ,,WET
2018-128,CAIDA BICICLETA,JUEVES,4/01/2018 09:00,4/01/2018 09:59,San Blas,https://www.wikidata.org/wiki/Q2001937,AVENIDA DE CANILLEJAS A VICALVARO,CALLE DE LOS HERMANOS GARCIA NOBLEJAS,1,, ,  ,   FOG,FOG,WeatherCondition02,,,FOG,,,WET,,WET ,,WET  ,,WET   ,,WET    ,,WET
