OBJECTID,STREET_NAM,street_name_URI,Divided,LTS,ExisFacil,Shape__Length
1142,Stuart Street,Stuart-Street,no,LTS 3,BL,251.12597564346
1144,Sullivan Square,Sullivan-Square,no,LTS 4,BFBL,67.3346795663597
2404,Summer Street,Summer-Street,no,LTS 1,SRd,109.402288346933
267,Surface Artery,Surface-Artery,no,LTS 3,BL,20.3283917415763
2022,Talbot Avenue,Talbot-Avenue,no,LTS 3,BL,347.514846658992
296,Taylor Street,Taylor-Street,no,LTS 1,SUP,217.499507633546
2517,Tenean Beach Path,Tenean-Beach-Path,no,LTS 1,SUP,556.101665780516
1587,Tenean Street,Tenean-Street,no,LTS 2,NW-U,184.424210257719
460,Thornton Street,Thornton-Street,no,LTS 1,SLM,74.1104576077875
109,Tremont Street,Tremont-Street,no,LTS 3,SLM,162.159609426307
1990,Truman Highway,Truman-Highway,no,LTS 4,BFBL,127.012881122529
2567,Truman Highway Sidepath,Truman-Highway-Sidepath,no,LTS 1,SUP,1379.25744278232
1395,Ukraine Way,Ukraine-Way,yes,LTS 3,BL,119.323373944729
2290,Valentine Street,Valentine-Street,no,LTS 1,SLM,108.193005712874
3,Veterans Of Foreign Wars Parkway,Veterans-Of-Foreign-Wars-Parkway,yes,LTS 3,BL,109.76653353431
81,Walk Hill Street,Walk-Hill-Street,no,LTS 3,SLM,110.073950558968
2008,Walnut Avenue,Walnut-Avenue,no,LTS 3,SLM,104.994684264746
1995,Walnut Entrance,Walnut-Entrance,no,LTS 1,SUP,66.9763358821686
63,Walter Street,Walter-Street,no,LTS 3,BL,22.205496206649
2027,Warren Street,Warren-Street,no,LTS 3,SLM,87.1334472741138
1996,Washington Street,Washington-Street,no,LTS 3,SLM,24.9675028465226
2135,Water Street,Water-Street,no,LTS 2,NW-U,10.9953105417157
201,West Dedham Street,West-Dedham-Street,no,LTS 4,CL,43.3237029668776
26,Western Avenue,Western-Avenue,no,LTS 3,CL,80.1851148948672
119,Westland Avenue,Westland-Avenue,no,LTS 1,SBL,204.594526055353
1483,Whitfield Street,Whitfield-Street,no,LTS 2,TC,62.4892436981153
1224,William Day Boulevard,William-Day-Boulevard,no,LTS 3,BFBL,824.490104259613
97,Williams Street,Williams-Street,no,LTS 2,TC,96.2507550740386
1114,Willowwood Street,Willowwood-Street,no,LTS 1,NW,97.3772681489396
330,Winship Street,Winship-Street,no,LTS 3,BL,86.9504972180705
2406,Winter Street,Winter-Street,no,LTS 1,SRd,14.3045537871257
162,Wyman Street,Wyman-Street,no,LTS 2,TC,52.5479468088667
2543,Zakim Bridge Path,Zakim-Bridge-Path,no,LTS 1,SUC,251.210222869286
